Episode,Steps,TotalReward,AvgReward,AvgSteps
1,8,69.94281086780225,,
2,7,59.96131699220407,,
3,5,39.9822405310713,,
4,5,39.95988192257034,,
5,9,79.94633046774835,,
6,2,9.98070752390779,,
7,16,149.95107328246186,,
8,4,29.983987535112263,,
9,6,49.95481321261916,,
10,12,109.949846234676,,
11,4,29.972646370689763,,
12,11,99.98517736453849,,
13,9,79.94418864035558,,
14,3,19.967309702567505,,
15,1,,,
16,6,49.97737686889022,,
17,8,69.96421519912262,,
18,4,29.972672116280933,,
19,8,69.9689918831813,,
20,9,79.96559691462294,,
21,13,119.97065001209926,,
22,4,29.969422558498657,,
23,7,59.954238711908786,,
24,12,109.9652813889626,,
25,3,19.966572165197405,,
26,3,19.97707801419561,,
27,20,189.92817313385626,,
28,7,59.97381139480483,,
29,5,39.97098365407827,,
30,4,29.986924094391142,,
31,4,29.954874381139042,,
32,6,49.97552723219612,,
33,12,109.96643487360546,,
34,2,9.985179778659864,,
35,5,39.97068331427034,,
36,5,39.98854848539068,,
37,2,9.983486337188785,,
38,3,19.98214807520842,,
39,5,39.9659322473029,,
40,4,29.97608214431014,,
41,5,39.98304985454338,,
42,2,9.986892068715234,,
43,5,39.97957008562331,,
44,13,119.90642724704516,,
45,5,39.97547871443113,,
46,8,69.96303805758427,,
47,17,159.9209846005695,,
48,6,49.98368591890113,,
49,4,29.972667316878386,,
50,3,19.98442810265418,,
51,6,49.96447252054184,,
52,3,19.9706088593596,,
53,5,39.97789697376453,,
54,2,9.986051687058803,,
55,8,69.9582219708953,,
56,12,109.95970822016093,,
57,8,69.96462068366294,,
58,4,29.954910899695705,,
59,7,59.984281134413195,,
60,9,79.97130096043611,,
61,4,29.9699958813869,,
62,9,79.94691371064474,,
63,5,39.97112497862528,,
64,4,29.990054195932196,,
65,2,9.982929187077982,,
66,12,109.86777488461087,,
67,23,219.83211786799544,,
68,8,69.92198245129102,,
69,8,69.9565483461936,,
70,8,69.97886052920398,,
71,2,9.985861662860257,,
72,4,29.98403191787221,,
73,26,249.87607774728878,,
74,28,269.8452705819134,,
75,6,49.95960946902595,,
76,4,29.95889989450373,,
77,15,139.91787823207358,,
78,8,69.9677320289798,,
79,2,9.981450696001792,,
80,4,29.97695018884243,,
81,9,79.97090378869835,,
82,6,49.96987437661799,,
83,7,59.938185542775216,,
84,3,19.989690776636202,,
85,2,9.987920099320206,,
86,12,109.95811141127356,,
87,8,69.90957760466952,,
88,6,49.96637148167757,,
89,6,49.95787799356123,,
90,5,39.9810504311337,,
91,5,39.96898780118783,,
92,8,69.97824442526057,,
93,8,69.96731662853517,,
94,3,19.970920486679386,,
95,4,29.973717407929357,,
96,7,59.980780566322714,,
97,4,29.964491590136767,,
98,6,49.97432437891131,,
99,1,,,
100,2,9.985973384426416,,
,,,58.863578961327,6.89
